,username,tweet_text,retweets,location,created_at
0,realDonaldTrump,"President Obama used to say that “if you wanted to see something really screwed up, give it to Joe Biden to do.” In fact, he tried to keep Joe from running, “you don’t have to do this Joe”, and then wouldn’t endorse him until long after the Primaries ended. “Joe is lost!”.",29552,"Washington, DC",2020-10-30 23:51:21
1,realDonaldTrump,"THANK YOU MINNESOTA!
https://t.co/OMIAwVQcY7",13924,"Washington, DC",2020-10-30 23:42:41
2,realDonaldTrump,"Joe Biden will lock down our entire Country. Biden will make you a prisoner in your own home, and a prisoner in your own Country. Biden’s plan will kill the American Dream—Get your friends, get your family, get your neighbors and GET OUT AND VOTE! #MAGA https://t.co/fH8Iq6i8d3",18585,"Washington, DC",2020-10-30 22:02:23
3,realDonaldTrump,"I’ve done more in 47 months than Joe Biden has done in 47 years! A vote for Republicans is a vote for the American Dream, and the party of Abraham Lincoln! #MAGA https://t.co/gsFSgh2KPc",13119,"Washington, DC",2020-10-30 21:52:46
4,realDonaldTrump,"The Election should end on November 3rd., not weeks later!",45359,"Washington, DC",2020-10-30 21:48:23
5,realDonaldTrump,"This election is a choice between a Trump Super Boom or a Biden Depression, and it’s between a safe vaccine or a devastating Biden lockdown! https://t.co/FkOHz0XUS2 https://t.co/IEPULUXAXe",10338,"Washington, DC",2020-10-30 21:47:46
6,realDonaldTrump,"One of the most important issues is LAW &amp; ORDER. Biden stands with the rioters &amp; looters - I stand with the HEROES of law enforcement. If Biden wins, the rioters in the streets will be running your federal government. No city, no family, and no community will be safe. VOTE #MAGA! https://t.co/fjokM0yWiG",10822,"Washington, DC",2020-10-30 21:46:12
7,realDonaldTrump,https://t.co/wl1codKkZ3,11967,"Washington, DC",2020-10-30 21:36:12
8,realDonaldTrump,https://t.co/ewR0TUgCtX,6949,"Washington, DC",2020-10-30 21:35:00
9,realDonaldTrump,This election is the most important election of our lifetime! Get out and VOTE to #MAGA! https://t.co/jM4hTHUYDF,8962,"Washington, DC",2020-10-30 21:34:49
10,realDonaldTrump,"THANK YOU WISCONSIN!
https://t.co/9l46T76kwu",8909,"Washington, DC",2020-10-30 21:27:25
11,realDonaldTrump,"Volunteer to be a Trump Election Poll Watcher. Sign up today! 

#MAGA #Election2020 
https://t.co/3AnrRUPTtZ",7959,"Washington, DC",2020-10-30 19:29:49
12,realDonaldTrump,"Your VOTE will continue HISTORIC job growth and make sure America keeps WINNING. Arizona, Georgia, Nevada, Texas - Get out and VOTE today! Find your Early Voting Location below. https://t.co/135RZzXIeI",8152,"Washington, DC",2020-10-30 19:16:09
13,realDonaldTrump,"We did not come this far, and fight this hard, only to surrender our Country back to the Washington Swamp—So get your friends, get your family, get your neighbors &amp; GET OUT &amp; VOTE! On November 3rd we must finish the job and Drain the Swamp once and for all.https://t.co/1HSPRkWMTg",18172,"Washington, DC",2020-10-30 19:12:45
14,realDonaldTrump,"Joe Biden is a corrupt politician—the Biden family is looking more &amp; more like a crime family. They took millions of $$ from the Chinese Communists, while Vice President Biden shipped Michigan jobs to China. If Biden wins, China Wins. When we win, Michigan wins, and AMERICA wins! https://t.co/YpnjH8838X",13928,"Washington, DC",2020-10-30 19:10:02
15,realDonaldTrump,"This election will decide whether we restore the rule of a corrupt political class – or whether we declare that in America, we are still governed by THE PEOPLE! Get out and VOTE!
https://t.co/gsFSgh2KPc",8876,"Washington, DC",2020-10-30 19:06:15
16,realDonaldTrump,Biden’s speech is 90% made up stories and lies. Only broadcast on @FoxNews.,16730,"Washington, DC",2020-10-30 19:05:05
17,realDonaldTrump,"...Disasters. At every turn, Biden twisted his knife into the back of Michigan workers. In 2016, Michigan voted to FIRE this corrupt political establishment and you elected an outsider as President who is finally putting AMERICA FIRST!

#VOTE #MAGA",9322,"Washington, DC",2020-10-30 19:03:33
18,realDonaldTrump,...a cheerleader for NAFTA – sending your auto Jobs to Mexico. He voted for China’s entry into the World Trade Organization – gutting your industries to finance China’s rise. HALF of all Michigan auto manufacturing jobs were ELIMINATED after the Biden-Backed NAFTA and China...,9108,"Washington, DC",2020-10-30 19:03:33
19,realDonaldTrump,"Joe Biden spent the last 47 years outsourcing your jobs, opening your borders, and sacrificing American blood and treasure in endless foreign wars. He is a diehard globalist who cares nothing for working people. He repeatedly tried to cut Medicare &amp; Social Security. Biden was...",21117,"Washington, DC",2020-10-30 19:03:32
20,realDonaldTrump,https://t.co/ucTqlNXNJ8,6017,"Washington, DC",2020-10-30 18:59:25
21,realDonaldTrump,"Joe Biden has vowed to abolish the entire U.S. Energy Industry — no fracking, no energy, and high gas prices. While I am President, America will proudly remain ENERGY INDEPENDENT! https://t.co/pN1VF0zaB5",8326,"Washington, DC",2020-10-30 18:58:37
22,realDonaldTrump,Biden wants the biggest Tax Increase in the history of our Country!,26089,"Washington, DC",2020-10-30 18:56:05
23,realDonaldTrump,https://t.co/BlMv2KsM7W,9194,"Washington, DC",2020-10-30 18:54:19
24,realDonaldTrump,THANK YOU MICHIGAN! https://t.co/eTip7kTQXJ,8687,"Washington, DC",2020-10-30 18:53:22
25,realDonaldTrump,"On my way to MICHIGAN, WISCONSIN, and MINNESOTA! https://t.co/7eEpmAJKCO",12943,"Washington, DC",2020-10-30 17:07:13
26,realDonaldTrump,Biden would lock us down forever. We are rounding the corner! https://t.co/zvSfKUo1gd,11122,"Washington, DC",2020-10-30 16:52:45
27,realDonaldTrump,Happy Birthday to our wonderful Ivanka. Now go back to work! November 3rd. https://t.co/mQF1xHV3Qh,24272,"Washington, DC",2020-10-30 16:48:55
28,realDonaldTrump,"Such a Great Honor! Thank you, Brett! https://t.co/AocgUSqOTU",10179,"Washington, DC",2020-10-30 16:47:03
29,realDonaldTrump,Great Red Wave! https://t.co/0HvMzsNwuZ,7627,"Washington, DC",2020-10-30 16:45:50
30,realDonaldTrump,https://t.co/qJUxmsEPv8,8184,"Washington, DC",2020-10-30 16:10:09
31,realDonaldTrump,https://t.co/KhfjwtX2JT,6240,"Washington, DC",2020-10-30 16:10:08
32,realDonaldTrump,https://t.co/voxNnIYMpe,8334,"Washington, DC",2020-10-30 16:10:07
33,realDonaldTrump,This decision is CRAZY and so bad for our Country. Can you imagine what will happen during that nine day period. The Election should END on November 3rd. https://t.co/Hkftv9Jp56,14071,"Washington, DC",2020-10-30 15:49:39
34,realDonaldTrump,"I would NEVER have taken the endorsement of the man who, through gross incompetence, poisoned the people of Flint, Michigan. Former RINO Governor Rick Snyder should be ashamed of himself and his service. I was asked to help fix it. Biden took his endorsement. VOTE TRUMP!!!",25448,"Washington, DC",2020-10-30 13:36:06
35,realDonaldTrump,SECOND AMENDMENT!,30555,"Washington, DC",2020-10-30 13:19:06
36,realDonaldTrump,SUPREME COURT!,20334,"Washington, DC",2020-10-30 13:17:33
37,realDonaldTrump,"33.1% GDP - BEST IN USA HISTORY. IF I AM ELECTED, NEXT YEAR WILL BE OUR BEST EVER!",34411,"Washington, DC",2020-10-30 13:05:58
38,realDonaldTrump,Rigged? https://t.co/KX5S0IrouV,22497,"Washington, DC",2020-10-30 12:54:55
39,realDonaldTrump,The @nytimes now admits that patients ill with Covid are getting better faster and at higher (much) percentages.,23545,"Washington, DC",2020-10-30 12:22:37
40,realDonaldTrump,More Testing equals more Cases. We have best testing. Deaths WAY DOWN. Hospitals have great additional capacity! Doing much better than Europe. Therapeutics working!,21869,"Washington, DC",2020-10-30 12:15:58
41,realDonaldTrump,"If Sleepy Joe Biden is actually elected President, the 4 Justices (plus1) that helped make such a ridiculous win possible would be relegated to sitting on not only a heavily PACKED COURT, but probably a REVOLVING COURT as well. At least the many new Justices will be Radical Left!",16749,"Washington, DC",2020-10-30 06:57:37
42,realDonaldTrump,Biden will destroy the United States Supreme Court. Don’t let this happen!,31180,"Washington, DC",2020-10-30 06:40:35
43,realDonaldTrump,#BidenCrimeFamiily,37663,"Washington, DC",2020-10-30 06:37:17
44,realDonaldTrump,MAKE AMERICA GREAT AGAIN. VOTE!!!,35278,"Washington, DC",2020-10-30 06:34:40
45,realDonaldTrump,Watch the Great Red Wave!,24863,"Washington, DC",2020-10-30 06:32:27
46,realDonaldTrump,Way ahead in Texas!,18944,"Washington, DC",2020-10-30 06:32:00
47,realDonaldTrump,Sports Reporter Calls Jack Nicklaus‘ Endorsement of President Trump ‘Divisive‘ https://t.co/BDcWAL6wp0 via @BreitbartNews Who is Darren Rovell? Thank you Jack!!!,9166,"Washington, DC",2020-10-30 06:31:06
48,realDonaldTrump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term https://t.co/VW5w4YtBQ5 via @BreitbartNews,9752,"Washington, DC",2020-10-30 06:22:37
49,realDonaldTrump,Philadelphia Firefighters Union Votes to Endorse Trump https://t.co/rI6mQUZMbE via @BreitbartNews,13823,"Washington, DC",2020-10-30 06:17:04
50,realDonaldTrump,"Keith Ellison Restricts Freedom of Assembly of Political Opponents https://t.co/WAPPsfQrWk via @BreitbartNews We were planning for as many as 25,000 people in Minnesota. Now the Governor, at the last moment, will only allow the first 250 people to attend. Riots plus Omar = WIN!",13600,"Washington, DC",2020-10-30 06:13:36
51,realDonaldTrump,https://t.co/OfmL1fPSjZ,13427,"Washington, DC",2020-10-30 03:14:41
52,realDonaldTrump,https://t.co/9m7w0uurXy,14133,"Washington, DC",2020-10-30 02:33:20
53,realDonaldTrump,"For years you had a President who apologized for America—now you have a President who is standing up for America! Get your friends, get your family, get your neighbors and GET OUT &amp; VOTE! On 11/3 we must finish the job and Drain the Swamp once and for all! https://t.co/RZzSuwLUSP",27723,"Washington, DC",2020-10-30 02:32:17
54,realDonaldTrump,https://t.co/gsFSghkmdM https://t.co/fg5US7VpUJ,16539,"Washington, DC",2020-10-30 00:14:13
55,realDonaldTrump,"The Fake News refuses to cover the fact that GDP went up 33.1% for the 3rd Quarter, the best number by far in our Country’s history!",48810,"Washington, DC",2020-10-30 00:04:08
